,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,eir_score,shape_score,intensity_score,prevalence_score,param_set,round
87,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,87.0,15.0,,,,,0.0,1.274666941246338,1.577719030905233,0.1413219438423,16.0,4
88,88.0,88.0,88.0,88.0,88.0,88.0,88.0,88.0,0.0,,,,,,0.0,1.1249773031206187,1.957678707575784,0.0673521173242999,1.0,5
89,89.0,89.0,89.0,89.0,89.0,89.0,89.0,89.0,1.0,,,,,,0.0,1.1658112095666702,1.5986693288768818,0.13723586324175,2.0,5
90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,90.0,2.0,,,,,,0.0,1.5009859491229556,1.7354041626729273,0.0695766588653,3.0,5
91,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,3.0,,,,,,0.0,1.058331550451287,1.5192018908852107,0.1358441474227,4.0,5
92,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,4.0,,,,,,0.0,1.316200246158263,1.842593910300516,0.0466533869395999,5.0,5
93,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,5.0,,,,,,0.0,1.0504736784550346,1.6363846775037834,0.1278527401813,6.0,5
94,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,6.0,,,,,,0.0,1.123597301142143,1.602526885025351,0.10991879976825,7.0,5
95,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,7.0,,,,,,0.0,1.3535995553290006,1.685362183946692,0.08816818359905,8.0,5
96,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,8.0,,,,,,0.0,1.1656830943690015,1.7586199163902796,0.0674766438257,9.0,5
97,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,9.0,,,,,,0.0,1.3748766102822003,1.830277750847224,0.0563323596612499,10.0,5
98,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,10.0,,,,,,0.0,1.2887051872042885,1.582711120639009,0.11956142560945,11.0,5
99,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,11.0,,,,,,0.0,1.1839643972969558,1.7722188944270036,0.0930485402584499,12.0,5
100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,12.0,,,,,,0.0,1.0890946776982655,1.6282804216314275,0.1129574628641,13.0,5
101,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,13.0,,,,,,0.0,1.003946878931401,1.7278329638987489,0.0630468880217,14.0,5
102,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,14.0,,,,,,0.0,1.157895976255509,1.7205531813295707,0.06406909780735,15.0,5
103,103.0,103.0,103.0,103.0,103.0,103.0,103.0,103.0,15.0,,,,,,0.0,1.2411679127523032,1.5369074374793057,0.10904537301115,16.0,5
104,104.0,104.0,104.0,104.0,104.0,104.0,104.0,0.0,,,,,,,0.0,1.884017384238948,1.2642060131185548,0.3042414969235499,1.0,6
105,105.0,105.0,105.0,105.0,105.0,105.0,105.0,1.0,,,,,,,0.0,1.2177292486147748,1.6334176300001857,0.1038943546228,2.0,6
106,106.0,106.0,106.0,106.0,106.0,106.0,106.0,2.0,,,,,,,0.0,1.009805466428685,1.6909840813446115,0.06749414034685,3.0,6
107,107.0,107.0,107.0,107.0,107.0,107.0,107.0,3.0,,,,,,,0.0,1.1285792621179769,1.76842016671157,0.0790465491981999,4.0,6
108,108.0,108.0,108.0,108.0,108.0,108.0,108.0,4.0,,,,,,,0.0,1.1210607788381797,1.6030964239231171,0.08023383751155,5.0,6
109,109.0,109.0,109.0,109.0,109.0,109.0,109.0,5.0,,,,,,,0.0,1.112144477433816,1.623141305630076,0.09388680949015,6.0,6
110,110.0,110.0,110.0,110.0,110.0,110.0,110.0,6.0,,,,,,,0.0,1.1570632967747805,1.5392584119749124,0.1855950459279,7.0,6
111,111.0,111.0,111.0,111.0,111.0,111.0,111.0,7.0,,,,,,,0.0,1.5487753922675735,1.375169103593931,0.25673463293865,8.0,6
112,112.0,112.0,112.0,112.0,112.0,112.0,112.0,8.0,,,,,,,0.0,1.1919093044575757,1.5936811326034928,0.10217363339065,9.0,6
113,113.0,113.0,113.0,113.0,113.0,113.0,113.0,9.0,,,,,,,0.0,1.2777006465623162,1.6655722469228869,0.10685585652725,10.0,6
114,114.0,114.0,114.0,114.0,114.0,114.0,114.0,10.0,,,,,,,0.0,1.0735806343191652,1.6048136392345649,0.11537583873325,11.0,6
115,115.0,115.0,115.0,115.0,115.0,115.0,115.0,11.0,,,,,,,0.0,0.9709053112920109,1.704645869423831,0.0761328428704,12.0,6
116,116.0,116.0,116.0,116.0,116.0,116.0,116.0,12.0,,,,,,,0.0,1.1945658774647507,1.5901772731752697,0.0728024043862,13.0,6
117,117.0,117.0,117.0,117.0,117.0,117.0,117.0,13.0,,,,,,,0.0,1.6470597718413529,1.3685441459269896,0.2587648180131,14.0,6
118,118.0,118.0,118.0,118.0,118.0,118.0,118.0,14.0,,,,,,,0.0,1.0927181580686685,1.6599324544367509,0.0747700676224,15.0,6
119,119.0,119.0,119.0,119.0,119.0,119.0,119.0,15.0,,,,,,,0.0,1.0222551804158064,1.566362111266679,0.1204707627563,16.0,6
120,120.0,120.0,120.0,120.0,120.0,120.0,0.0,,,,,,,,0.0,1.0500098311541748,1.6034647327411191,0.10216771281095,1.0,7
121,121.0,121.0,121.0,121.0,121.0,121.0,1.0,,,,,,,,0.0,1.1546203705787343,1.4961796668527276,0.13180199324865,2.0,7
